City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Mount Isa,AU,2021-11-12 19:29:05,-20.7333,139.5,56.97,67,0,6.91,clear sky
88,Provideniya,RU,2021-11-12 19:29:05,64.3833,-173.3,17.08,94,100,2.01,overcast clouds
89,Mayo,US,2021-11-12 19:29:06,38.8876,-76.5119,66.34,50,75,5.01,broken clouds
90,Amiens,FR,2021-11-12 19:30:06,49.9,2.3,54.46,85,78,13.44,broken clouds
91,Arraial Do Cabo,BR,2021-11-12 19:30:07,-22.9661,-42.0278,71.56,64,90,8.05,overcast clouds
92,Bredasdorp,ZA,2021-11-12 19:30:07,-34.5322,20.0403,63.28,77,100,2.48,overcast clouds
93,Victor Harbor,AU,2021-11-12 19:30:08,-35.5667,138.6167,55.49,66,100,1.01,overcast clouds
94,Boshnyakovo,RU,2021-11-12 19:30:09,49.6333,142.1667,29.82,96,100,4.83,snow
95,Tasiilaq,GL,2021-11-12 19:30:10,65.6145,-37.6368,28.56,94,100,3.24,light snow
96,Tagusao,PH,2021-11-12 19:30:10,9.1924,117.8141,78.42,81,100,1.79,overcast clouds
97,Half Moon Bay,US,2021-11-12 19:30:11,37.4636,-122.4286,74.5,73,1,6.91,haze
98,Ilulissat,GL,2021-11-12 19:30:11,69.2167,-51.1,8.62,40,75,20.71,broken clouds
99,Inta,RU,2021-11-12 19:30:12,66.0317,60.1659,18.73,97,100,1.16,overcast clouds
100,Mount Gambier,AU,2021-11-12 19:30:12,-37.8333,140.7667,44.51,81,100,9.22,overcast clouds
101,Hithadhoo,MV,2021-11-12 19:30:13,-0.6,73.0833,82.02,76,15,10.07,few clouds
102,Iqaluit,CA,2021-11-12 19:30:13,63.7506,-68.5145,13.73,85,90,5.99,light snow
103,Port Elizabeth,ZA,2021-11-12 19:26:46,-33.918,25.5701,63.1,94,0,0.0,clear sky
104,Srednekolymsk,RU,2021-11-12 19:30:14,67.45,153.6833,1.31,98,100,2.95,overcast clouds
105,Naze,JP,2021-11-12 19:30:14,28.3667,129.4833,60.01,61,31,8.88,scattered clouds
106,Gobo,JP,2021-11-12 19:30:14,33.8833,135.15,53.58,67,9,4.36,clear sky
107,Carutapera,BR,2021-11-12 19:30:15,-1.195,-46.02,83.34,66,16,7.0,few clouds
108,Mar Del Plata,AR,2021-11-12 19:30:15,-38.0023,-57.5575,66.22,85,75,35.01,light rain
109,Karratha,AU,2021-11-12 19:30:16,-20.7377,116.8463,73.18,47,100,8.19,overcast clouds
110,East London,ZA,2021-11-12 19:29:55,-33.0153,27.9116,65.34,81,40,4.32,scattered clouds
111,Sur,OM,2021-11-12 19:30:16,22.5667,59.5289,77.0,55,0,7.43,clear sky
112,Puerto Ayora,EC,2021-11-12 19:30:16,-0.7393,-90.3518,76.96,80,66,10.71,broken clouds
113,Kawalu,ID,2021-11-12 19:30:17,-7.3817,108.2082,71.64,95,100,1.59,light rain
114,Ribeira Grande,PT,2021-11-12 19:30:17,38.5167,-28.7,67.77,92,100,27.78,overcast clouds
