City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Georgetown,MY,2021-11-09 21:31:00,5.4112,100.3354,80.53,88,40,0.0
142,Mayya,RU,2021-11-09 21:31:00,61.7333,130.2811,25.92,96,100,6.33
143,Alice Springs,AU,2021-11-09 21:30:24,-23.7,133.8833,65.75,100,75,6.91
144,Taoudenni,ML,2021-11-09 21:31:01,22.6783,-3.9836,67.59,15,100,9.53
145,Garissa,KE,2021-11-09 21:31:01,-0.4536,39.6401,78.31,71,61,12.73
146,Ancud,CL,2021-11-09 21:31:02,-41.8697,-73.8203,69.33,70,0,11.18
147,Miri,MY,2021-11-09 21:31:03,4.4148,114.0089,75.34,100,40,2.3
148,Vanimo,PG,2021-11-09 21:28:14,-2.6741,141.3028,77.95,92,76,7.14
149,Kaeo,NZ,2021-11-09 21:31:03,-35.1,173.7833,69.33,80,100,4.07
150,Qaanaaq,GL,2021-11-09 21:31:04,77.484,-69.3632,1.31,66,18,8.61
151,Buenos Aires,AR,2021-11-09 21:31:04,-34.6132,-58.3772,72.03,69,0,23.02
152,Gazojak,TM,2021-11-09 21:31:04,41.1875,61.4036,40.82,19,0,5.99
153,Westport,US,2021-11-09 21:30:56,41.1415,-73.3579,68.76,62,1,1.01
154,Dolores,AR,2021-11-09 21:31:05,-36.3132,-57.6792,61.41,60,94,9.01
155,Santa Isabel Do Rio Negro,BR,2021-11-09 21:31:05,-0.4139,-65.0192,76.5,95,97,2.42
156,Teguise,ES,2021-11-09 21:31:06,29.0605,-13.564,62.82,63,20,6.91
157,Vila Franca Do Campo,PT,2021-11-09 21:31:06,37.7167,-25.4333,70.2,83,100,11.79
158,Yar-Sale,RU,2021-11-09 21:31:06,66.8333,70.8333,5.11,96,87,8.86
159,Fairbanks,US,2021-11-09 21:30:00,64.8378,-147.7164,13.96,75,90,6.91
160,Sabha,LY,2021-11-09 21:31:06,27.0377,14.4283,68.61,24,1,11.27
161,Kismayo,SO,2021-11-09 21:31:07,-0.3582,42.5454,78.69,82,10,12.64
162,Leningradskiy,RU,2021-11-09 21:31:07,69.3833,178.4167,3.31,88,88,3.83
163,Tautira,PF,2021-11-09 21:31:07,-17.7333,-149.15,82.42,79,47,14.72
164,Bac Lieu,VN,2021-11-09 21:31:08,9.285,105.7244,76.05,94,100,11.23
165,Broome,US,2021-11-09 21:31:08,42.2506,-75.833,61.02,65,75,4.61
166,Sambava,MG,2021-11-09 21:31:08,-14.2667,50.1667,74.93,90,23,3.49
167,Corrales,US,2021-11-09 21:31:09,35.2378,-106.6067,72.14,21,75,1.99
168,Vostok,RU,2021-11-09 21:31:09,46.4856,135.8833,28.99,94,95,1.74
169,Yeppoon,AU,2021-11-09 21:31:09,-23.1333,150.7333,76.78,82,67,10.33
170,Khatanga,RU,2021-11-09 21:31:09,71.9667,102.5,2.26,95,100,11.79
171,Saint-Philippe,RE,2021-11-09 21:31:10,-21.3585,55.7679,73.22,85,67,10.4
172,Iqaluit,CA,2021-11-09 21:31:10,63.7506,-68.5145,10.13,92,75,10.0
173,Tuy Hoa,VN,2021-11-09 21:31:10,13.0833,109.3,76.62,92,100,15.21
174,Kapaa,US,2021-11-09 21:31:10,22.0752,-159.319,83.12,81,1,4.0
175,Umm Kaddadah,SD,2021-11-09 21:31:11,13.6017,26.6876,82.53,19,8,10.36
176,Coihaique,CL,2021-11-09 21:29:00,-45.5752,-72.0662,74.01,31,20,10.36
177,Poum,NC,2021-11-09 21:31:11,-20.2333,164.0167,77.04,77,100,6.31
178,Kuala Perlis,MY,2021-11-09 21:31:12,6.4,100.1333,80.58,88,100,12.17
179,Sabya,SA,2021-11-09 21:32:12,17.1495,42.6254,83.82,63,58,3.33
180,Provideniya,RU,2021-11-09 21:32:12,64.3833,-173.3,14.11,79,0,2.24
181,Sartell,US,2021-11-09 21:32:12,45.6216,-94.2069,56.98,49,1,1.99
182,Vila Velha,BR,2021-11-09 21:32:13,-20.3297,-40.2925,76.95,92,90,1.99
183,Olafsvik,IS,2021-11-09 21:32:13,64.8945,-23.7142,35.56,84,100,21.25
184,Tiksi,RU,2021-11-09 21:32:13,71.6872,128.8694,7.41,95,100,4.88
185,Bambous Virieux,MU,2021-11-09 21:32:14,-20.3428,57.7575,74.21,78,20,3.44
186,Vondrozo,MG,2021-11-09 21:32:14,-22.8167,47.2833,68.79,91,93,0.34
187,Adrar,MR,2021-11-09 21:32:14,20.5022,-10.0711,71.08,18,100,10.45
188,Belgrade,RS,2021-11-09 21:32:15,44.804,20.4651,47.7,96,75,3.44
189,Kavieng,PG,2021-11-09 21:32:15,-2.5744,150.7967,85.42,65,58,16.73
190,Harper,LR,2021-11-09 21:32:15,4.375,-7.7169,78.39,87,69,6.93
191,Sao Gabriel Da Cachoeira,BR,2021-11-09 21:32:15,-0.1303,-67.0892,76.35,93,95,0.83
192,Kahului,US,2021-11-09 21:29:05,20.8947,-156.47,84.22,59,20,8.05
193,Lashio,MM,2021-11-09 21:32:16,22.9333,97.75,61.34,99,95,1.12
194,Taltal,CL,2021-11-09 21:32:16,-25.4,-70.4833,63.54,66,22,4.88
195,Bogatic,RS,2021-11-09 21:32:16,44.8375,19.4806,48.2,98,29,6.89
196,Saskylakh,RU,2021-11-09 21:32:17,71.9167,114.0833,-15.97,100,77,5.28
197,Longyearbyen,SJ,2021-11-09 21:32:17,78.2186,15.6401,31.84,64,40,12.66
198,Pyaozerskiy,RU,2021-11-09 21:32:17,65.8333,31.1667,28.76,93,100,13.22
199,De Aar,ZA,2021-11-09 21:32:17,-30.6497,24.0123,64.58,31,0,1.86
200,Mocuba,MZ,2021-11-09 21:32:18,-16.8392,36.9856,81.54,56,2,5.59
201,Tazovskiy,RU,2021-11-09 21:32:18,67.4667,78.7,-6.59,100,98,3.38
202,Porto Novo,BJ,2021-11-09 21:32:18,6.4965,2.6036,84.02,80,89,9.31
203,Cockburn Town,TC,2021-11-09 21:32:18,21.4612,-71.1419,80.56,74,40,8.05
204,Koumac,NC,2021-11-09 21:32:19,-20.5667,164.2833,78.55,72,100,5.73
205,Ponta Do Sol,PT,2021-11-09 21:32:19,32.6667,-17.1,68.72,71,4,4.12
206,Gat,IL,2021-11-09 21:31:00,31.61,34.7642,72.39,34,4,2.48
207,Ishigaki,JP,2021-11-09 21:32:19,24.3448,124.1572,66.33,63,75,11.5
208,Manta,EC,2021-11-09 21:32:20,-0.95,-80.7333,80.38,74,75,10.36
209,Port Elizabeth,ZA,2021-11-09 21:32:20,-33.918,25.5701,55.69,94,15,3.44
210,Sorland,NO,2021-11-09 21:32:20,67.667,12.6934,44.67,80,97,34.94
211,Upernavik,GL,2021-11-09 21:32:21,72.7868,-56.1549,12.76,88,99,11.45
212,Terney,RU,2021-11-09 21:32:21,45.0503,136.6092,38.79,75,100,6.11
213,Arkhangelsk,RU,2021-11-09 21:32:21,64.5401,40.5433,21.31,93,40,2.24
214,Izumo,JP,2021-11-09 21:32:21,35.3667,132.7667,48.15,87,75,18.41
215,Boda,CF,2021-11-09 21:32:22,4.3189,17.4695,73.49,81,66,0.98
216,Ulladulla,AU,2021-11-09 21:32:22,-35.35,150.4667,64.09,96,100,3.42
217,Tatawin,TN,2021-11-09 21:32:22,32.9297,10.4518,59.88,82,56,5.68
218,Myingyan,MM,2021-11-09 21:32:23,21.4667,95.3833,73.54,72,88,2.21
219,Narsaq,GL,2021-11-09 21:32:23,60.9167,-46.05,17.82,75,4,5.44
220,Mindelo,CV,2021-11-09 21:32:23,16.8901,-24.9804,72.95,78,90,16.11
221,Muroto,JP,2021-11-09 21:32:23,33.2833,134.15,48.24,67,58,25.48
222,Cheltenham,GB,2021-11-09 21:30:19,51.9,-2.0833,55.98,84,95,8.99
223,Isangel,VU,2021-11-09 21:32:24,-19.55,169.2667,82.51,78,75,5.75
224,Hondo,JP,2021-11-09 21:32:24,32.45,130.2,51.75,68,100,24.4
225,Vila,PT,2021-11-09 21:32:24,42.0304,-8.1588,50.94,88,0,3.27
226,Goderich,CA,2021-11-09 21:31:05,43.7501,-81.7165,51.91,93,100,3.44
227,Arroyo,ES,2021-11-09 21:33:25,41.6096,-4.7969,46.44,76,0,17.27
228,Toamasina,MG,2021-11-09 21:33:25,-18.1667,49.3833,75.2,94,40,3.44
229,Rawson,AR,2021-11-09 21:33:25,-43.3002,-65.1023,63.25,37,0,27.74
230,Ulaangom,MN,2021-11-09 21:33:26,49.9811,92.0667,15.73,80,50,2.93
231,Cape Town,ZA,2021-11-09 21:32:43,-33.9258,18.4232,61.11,78,0,1.01
232,Deer Lake,CA,2021-11-09 21:33:26,49.1667,-57.4316,48.06,76,90,9.22
233,Waingapu,ID,2021-11-09 21:33:26,-9.6567,120.2641,81.03,81,91,2.28
234,Pangnirtung,CA,2021-11-09 21:33:27,66.1451,-65.7125,12.2,62,20,2.3
235,Sleaford,GB,2021-11-09 21:33:27,52.9983,-0.4094,57.54,90,40,12.66
236,Marystown,CA,2021-11-09 21:33:27,47.1666,-55.1483,44.85,100,4,7.92
237,Cuenca,EC,2021-11-09 21:32:56,-2.8833,-78.9833,60.93,72,90,8.05
