City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Kieta,PG,79.45,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
431,Tzucacab,MX,77.65,overcast clouds,20.0667,-89.05,Hotel Jabines Centro
437,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
440,Concordia,AR,84.27,few clouds,-31.393,-58.0209,Palmar Hotel Casino
441,Pandan,PH,79.59,overcast clouds,14.0453,124.1694,Bonifacio Lodge
443,Tuy Hoa,VN,75.22,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
444,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
448,Cuiaba,BR,76.93,light rain,-15.5961,-56.0967,Getúllio Hotel
450,Tehachapi,US,76.41,clear sky,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
451,Zinder,NE,84.4,clear sky,13.8072,8.9881,Hotel de Ville
461,Tevaitoa,PF,77.77,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
464,Port Moresby,PG,76.96,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
468,Prainha,BR,90.43,broken clouds,-1.8,-53.48,Casa Rocha
478,Adrar,MR,77.92,overcast clouds,20.5022,-10.0711,
479,Coari,BR,79.25,moderate rain,-4.085,-63.1414,HOTEL ALEX FLAT
484,Umm Lajj,SA,80.55,overcast clouds,25.0213,37.2685,Moon light Furnished Units
485,Ewa Beach,US,83.01,few clouds,21.3156,-158.0072,Uncle Junior Robert
493,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
496,Bushehr,IR,77.09,scattered clouds,28.9684,50.8385,Yas Hotel
498,Kathu,TH,80.69,light rain,7.9178,98.3332,Novotel Phuket Resort
499,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
504,Chau Doc,VN,76.51,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
508,Tutoia,BR,87.78,clear sky,-2.7619,-42.2744,Pousada Guará's
